3129370	0.381500	104	2	175
3301788	0.322367	104	4	353
3176994	0.487316	104	2	182
3064295	0.346282	104	3	265
4240214	0.218153	104	3	266
4110833	0.355578	104	3	271
4205427	0.095919	104	4	348
2648172	0.319818	104	3	267
3151246	0.158956	104	4	349
4016707	0.076822	104	4	354
3767523	0.201719	104	3	268
4466671	0.092097	104	6	515
2633733	0.287290	104	3	281
2982841	0.175846	104	3	277
4037039	0.061452	104	6	522
4484420	0.121514	104	6	515
3344068	0.296750	104	3	262
3990922	0.027161	104	4	346
3482529	0.246754	104	3	267
3976629	0.092570	104	4	347
3732486	0.146796	104	6	512
3462874	0.230836	104	4	346
3112339	0.174381	104	4	345
3416461	0.169287	104	4	343
3654368	0.211233	104	4	346
3987093	0.180638	104	5	427
3526605	0.140931	104	5	428
4050489	0.093588	104	7	649
3704029	0.039495	104	6	518
3197383	0.410181	104	3	266
2917654	0.415535	104	3	273
3335812	0.181027	104	4	362
5293572	0.050109	104	7	588
3778728	0.088699	104	6	518
3063910	0.135459	104	3	262
3282846	0.382216	104	3	266
2580376	0.328677	104	3	264
4430565	0.125027	104	5	430
2753181	0.528908	104	3	266
3240809	0.293904	104	3	275
3937980	0.117855	104	4	378
3536415	0.188741	104	4	357
4040216	0.095511	104	4	354
3795888	0.109703	104	4	344
5472545	0.083383	104	5	435
3829467	0.113976	104	4	365
4207167	0.046784	104	5	442
3403487	0.227891	104	6	516
3651516	0.134279	104	4	388
3145331	0.224398	104	4	344
3348207	0.197070	104	4	346
3213232	0.195954	104	3	267
3431475	0.215787	104	4	346
3697003	0.268975	104	3	265
3931585	0.161164	104	3	265
3662262	0.158565	104	4	344
2917605	0.357084	104	3	265
3067510	0.316029	104	3	263
2341390	0.382730	104	2	175
2987558	0.375533	104	3	262
3706058	0.357691	104	3	262
3055870	0.387643	104	3	264
3124739	0.363173	104	3	260
3109549	0.264360	104	2	169
3199967	0.216261	104	3	268
2920521	0.474548	104	2	176
3460215	0.193301	104	4	348
2966852	0.369127	104	3	263
3066776	0.389493	104	2	180
3145796	0.322893	104	2	179
2270979	0.245216	104	2	173
